COURSE,COURSE TITLE,CREDIT UNIT,MARK,GRADE SCORE,USA Grades Equivalency,USA Weighted Score Equivalency
MIS221,"Introduction to ManagementInformation System",3.0,86.0,A,A,12.0
TMC221,Total Man Concept IV,1.0,94.0,A,A,4.0
TMC222,Total Man Concept - Sports IV,0.0,70.0,A,A,0.0
CSC226,Statistical Methods,2.0,74.0,A,A,8.0
Semester 5,,,,,,
CSC312,Fundamental of Data Structure,2.0,71.0,A,A,8.0
CIT310,"Cyber Security specialistApplication Security",0.0,84.0,A,A,0.0
GST311,"History and Philosophy ofScience",2.0,51.0,C,B,6.0
TMC312,Total Man Concept –Sports V,0.0,70.0,A,A,0.0
EDS311,"Entrepreneurial DevelopmentStudies VS",1.0,86.0,A,A,4.0
TMC311,Total Man Concept V,1.0,86.0,A,A,4.0
MKT211,Principles of Marketing I,3.0,72.0,A,A,12.0
BFN311,Business Finance II,3.0,68.0,B,B+,9.9
CSC313,Object-Oriented Programming,2.0,80.0,A,A,8.0
MIS316,Research Methods,2.0,78.0,A,A,8.0
CSC317,Systems Analysis and Design,2.0,65.0,B,B+,6.6
BUS313,Commercial Law,3.0,62.0,B,B+,9.9
CSC310,Internet Programming,2.0,57.0,C,B,6.0
Semester 6,,,,,,
MIS329,"Student Industrial WorkExperience Scheme (SIWES)",6.0,73,A,A,24.0
Semester 7,,,,,,
CSC411,Software Engineering,3.0,76,A,A,12.0
CSC415,Artificial Intelligence,3.0,70,A,A,12.0
DLD211,"Leadership andDevelopmental Studies",0.0,85,A,A,0.0
EDS411,"Entrepreneurial DevelopmentStudies VII",1.0,84,A,A,4.0
MIS412,Knowledge Management,2.0,77,A,A,8.0
MIS413,System Accounting,2.0,65,B,B+,6.6
MIS415,Project Management,2.0,76,A,A,8.0
MIS418,E-Commerce Technology,2.0,71,A,A,8.0
TMC411,Total Man Concept VII,1.0,81,A,A,4.0
TMC412,"Total Man Concept –SportsVII",0.0,70,A,A,0.0
Semester 8,,,,,,
CSC424,"Computer Networks/Communication",3.0,58.0,C,B,9.0
DLD221,Leadership Dynamics,0.0,81.0,A,A,0.0
EDS421,Entrepreneurial DevelopmentStudies VIII 'S,1.0,75.0,A,A,4.0
MIS421,Decision Support System,3.0,71.0,A,A,12.0
MIS422,ProEduction and OperationManagement,2.0,63.0,B,B+,6.6
MIS423,Management Theory,3.0,77.0,A,A,12.0
MIS425,System Security Management,2.0,76.0,A,A,8.0
MIS429,Project,6.0,74.0,A,A,24.0
TMC421,Total Man Concept VIII,1.0,96.0,A,A,4.0
TMC422,"Total Man Concept - SportsVIII",0.0,70.0,A,A,0.0
TTG222,Leadership Dynamics,0.0,87.0,A,A,0.0
